organism_category,contaminants
rothia_mucilaginosa,1
rothia_sp,1
rummeliibacillus_pycnus,1
rummeliibacillus_sp,1
solibacillus_silvestris,1
solibacillus_sp,1
staphylococcus_arlettae,1
staphylococcus_auricularis,1
staphylococcus_capitis,1
staphylococcus_caprae,1
staphylococcus_carnosus,1
staphylococcus_chromogenes,1
staphylococcus_coagneg,1
staphylococcus_cohnii,1
staphylococcus_condimenti,1
staphylococcus_epidermidis,1
staphylococcus_equorum,1
staphylococcus_felis,1
staphylococcus_gallinarum,1
staphylococcus_haemolyticus,1
staphylococcus_hominis,1
staphylococcus_kloosii,1
staphylococcus_lugdunensis,1
staphylococcus_muscae,1
staphylococcus_nepalensis,1
staphylococcus_pasteuri,1
staphylococcus_pettenkoferi,1
staphylococcus_piscifermentans,1
staphylococcus_saccharolyticus,1
staphylococcus_saprophyticus,1
staphylococcus_simulans,1
staphylococcus_succinus,1
staphylococcus_warneri,1
staphylococcus_xylosus,1
streptococcus_alactolyticus,1
streptococcus_anginosus,1
streptococcus_australis,1
streptococcus_bovis,1
streptococcus_constellatus,1
streptococcus_criceti,1
streptococcus_cristatus,1
streptococcus_dentisani,1
streptococcus_downei,1
streptococcus_equinus,1
streptococcus_ferus,1
streptococcus_gallolyticus,1
streptococcus_gordonii,1
streptococcus_hyovaginalis,1
streptococcus_infantarius,1
streptococcus_infantis,1
streptococcus_intermedius,1
streptococcus_lutetiensis,1
streptococcus_macacae,1
streptococcus_mitis,1
streptococcus_mutans,1
streptococcus_oligofermentans,1
streptococcus_oralis,1
streptococcus_parasanguinis,1
streptococcus_peroris,1
streptococcus_pseudopneumoniae,1
streptococcus_ratti,1
streptococcus_salivarius,1
streptococcus_sanguinis,1
streptococcus_sinensis,1
streptococcus_sobrinus,1
streptococcus_tigurinus,1
streptococcus_vestibularis,1
streptococcus_viridans,1
trueperella_bernardiae,1
trueperella_pyogenes,1
trueperella_sp,1
tsukamurella_inchonensis,1
tsukamurella_paurometabola,1
tsukamurella_pulmonis,1
tsukamurella_sp,1
tsukamurella_strandjordii,1
tsukamurella_tyrosinosolvens,1
turicella_sp,1
virgibacillus_pantothenticus,1
virgibacillus_sp,1
